# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	80002
1	0	80414
2	0	86485
3	0	93135
4	0	100198
5	0	107581
6	0	115272
7	0	123443
8	0	131918
9	0	140574
10	0	149357
11	0	158376
12	0	167354
13	0	176373
14	0	185140
15	0	193691
16	0	201210
17	0	208156
18	0	214006
19	0	218620
20	0	221886
21	0	224523
22	0	226390
23	0	227363
24	0	227757
25	0	227201
26	0	226507
27	0	225834
28	0	224792
29	0	224056
30	0	223194
31	0	221905
32	0	221597
33	0	221129
34	0	220630
35	0	219714
36	0	219235
37	0	219005
38	0	218525
39	0	218032
40	0	217677
41	0	217449
42	0	217487
43	0	217223
44	0	217634
45	0	217482
46	0	217548
47	0	217237
48	0	216807
49	0	216603
50	0	216761
51	0	216976
52	0	217108
53	0	217381
54	0	217421
55	0	217489
56	0	217575
57	0	217405
58	0	217221
59	0	217548
60	0	217633
61	0	217310
62	0	217577
63	0	217601
64	0	217330
65	14	217697
66	25	217692
67	28	218328
68	42	218622
69	57	218770
70	71	218587
71	94	218097
72	131	217914
73	156	218038
74	225	218014
75	272	217818
76	352	217783
77	454	218274
78	545	218330
79	686	218153
80	864	218306
81	1068	217645
82	1258	217613
83	1560	217813
84	1877	218125
85	2175	218742
86	2521	218900
87	2913	218935
88	3326	218755
89	3730	218676
90	4161	218554
91	4560	218312
92	4958	218336
93	5408	218195
94	5741	218504
95	6192	218544
96	6526	218502
97	6887	218799
98	7275	218693
99	7744	218336
100	8149	218137
101	8505	218209
102	8964	218663
103	9482	218834
104	9906	218663
105	10284	218502
106	10873	218638
107	11309	218433
108	11763	218568
109	12325	218650
110	12711	218910
111	13223	218607
112	13711	218494
113	14028	218527
114	14503	218205
115	14860	217876
116	15044	217857
117	15285	217684
118	15463	217434
119	15676	217595
120	15903	217921
121	16206	218320
122	16367	218434
123	16503	218039
124	16551	217723
125	16455	218051
126	16471	218102
127	16458	218477
128	16130	218439
129	16160	218617
130	16032	218190
131	15836	217910
132	15633	217908
133	15511	218159
134	15239	218278
135	14919	218756
136	14635	218656
137	14310	218898
138	13866	219048
139	13540	219234
140	13110	219003
141	12682	218792
